DATE,COUNTRY,BASE_DEMAND,MARKETING_SPEND,GDP_GROWTH,INFLATION_RATE,SEASONALITY_INDEX,FINAL_DEMAND
2022-Jan-01,USA,120,52790.41,1.61,3.32,0.92,218
2022-Jan-02,USA,120,45365.82,2.12,3.54,0.99,191
2022-Jan-03,USA,120,58164.45,0.41,3.95,0.91,165
2022-Jan-04,USA,120,64656.49,1.77,1.59,0.88,211
2022-Jan-05,USA,120,51222.19,4.55,3.39,0.89,194
2022-Jan-06,USA,120,43982.93,2.02,2.71,0.88,211
2022-Jan-07,USA,120,47705.5,2.07,2.99,0.87,189
2022-Jan-08,USA,120,36718.14,2.67,1.04,0.98,195
2022-Jan-09,USA,120,39909.15,2.67,3.88,1.04,168
2022-Jan-10,USA,120,53436.18,2.13,4.06,0.9,160
2022-Jan-11,USA,120,58943.32,2.97,3.89,0.88,220
2022-Jan-12,USA,120,53312.63,1.83,2.69,0.86,208
2022-Jan-13,USA,120,61797.16,2.36,2.59,0.92,201
2022-Jan-14,USA,120,53616.36,2.44,4.0,0.98,200
2022-Jan-15,USA,120,83722.96,3.7,3.34,1.0,252
2022-Jan-16,USA,120,50917.61,2.57,2.7,0.94,166
2022-Jan-17,USA,120,42107.42,2.07,1.5,1.03,225
2022-Jan-18,USA,120,59154.02,1.85,2.5,0.87,209
2022-Jan-19,USA,120,46907.11,3.6,3.18,1.01,233
2022-Jan-20,USA,120,52961.2,2.19,1.54,0.87,203
2022-Jan-21,USA,120,46044.84,0.38,3.35,0.85,161
2022-Jan-22,USA,120,68861.86,2.37,3.4,0.92,231
2022-Jan-23,USA,120,39274.68,2.49,1.33,0.92,165
2022-Jan-24,USA,120,48076.39,2.55,5.46,0.86,179
2022-Jan-25,USA,120,57672.97,2.77,2.99,0.88,181
2022-Jan-26,USA,120,64027.94,3.13,2.09,1.0,216
2022-Jan-27,USA,120,45065.68,1.8,3.08,0.98,216
2022-Jan-28,USA,120,34493.37,2.58,2.5,0.89,164
2022-Jan-29,USA,120,56205.48,2.93,2.09,0.98,227
2022-Jan-30,USA,120,58135.17,1.87,2.68,0.88,177
2022-Jan-31,USA,120,46755.09,3.59,5.54,1.01,202
2022-Feb-01,USA,120,37630.49,2.71,3.78,1.03,167
2022-Feb-02,USA,120,52262.88,2.99,4.22,1.0,237
2022-Feb-03,USA,120,68657.75,2.73,2.29,0.85,227
2022-Feb-04,USA,120,42488.21,3.09,2.05,0.98,181
2022-Feb-05,USA,120,58220.6,3.27,3.41,1.0,280
2022-Feb-06,USA,120,58786.74,1.4,2.23,0.87,195
2022-Feb-07,USA,120,47353.43,2.51,4.45,0.98,255
2022-Feb-08,USA,120,50419.8,1.73,3.98,0.89,183
2022-Feb-09,USA,120,54732.38,2.32,3.71,0.89,196
2022-Feb-10,USA,120,60455.71,2.14,3.78,1.04,231
2022-Feb-11,USA,120,51731.81,2.67,1.75,0.91,215
2022-Feb-12,USA,120,60574.24,2.68,2.19,0.96,233
2022-Feb-13,USA,120,36223.31,3.37,4.05,1.0,168
2022-Feb-14,USA,120,50239.32,2.74,3.26,1.01,239
2022-Feb-15,USA,120,59540.02,2.96,4.14,0.95,235
2022-Feb-16,USA,120,51650.23,1.58,1.5,1.03,208
2022-Feb-17,USA,120,56862.6,4.35,1.13,0.86,181
2022-Feb-18,USA,120,65603.8,1.79,2.67,0.86,210
2022-Feb-19,USA,120,50455.72,1.92,3.22,0.89,177
2022-Feb-20,USA,120,50151.43,3.59,3.83,0.96,220
2022-Feb-21,USA,120,42074.79,1.97,3.85,0.91,174
2022-Feb-22,USA,120,46657.53,1.88,4.66,0.86,166
2022-Feb-23,USA,120,37391.16,3.91,3.4,0.9,191
2022-Feb-24,USA,120,36731.68,2.8,4.65,1.04,224
2022-Feb-25,USA,120,54438.19,3.51,2.29,0.9,228
2022-Feb-26,USA,120,37050.58,2.48,2.07,0.94,178
2022-Feb-27,USA,120,45599.56,3.81,1.57,0.94,211
2022-Feb-28,USA,120,54049.76,2.55,5.35,0.92,215
2022-Mar-01,USA,120,50698.02,2.66,2.4,0.88,188
2022-Mar-02,USA,120,43848.66,0.98,4.28,1.04,239
2022-Mar-03,USA,120,52809.92,2.38,3.59,0.96,197
2022-Mar-04,USA,120,43777.63,3.21,2.54,0.86,174
2022-Mar-05,USA,120,58128.62,3.22,3.31,0.99,248
2022-Mar-06,USA,120,32123.28,2.94,2.29,0.91,143
2022-Mar-07,USA,120,47823.19,2.94,2.8,1.01,242
2022-Mar-08,USA,120,50121.47,2.17,3.26,1.0,234
2022-Mar-09,USA,120,53241.66,3.05,2.69,1.02,230
2022-Mar-10,USA,120,32079.55,4.03,4.07,1.04,176
2022-Mar-11,USA,120,56241.2,3.43,3.79,0.92,226
2022-Mar-12,USA,120,29099.82,1.94,2.99,0.87,166
2022-Mar-13,USA,120,54129.31,1.84,2.68,1.03,216
2022-Mar-14,USA,120,55591.09,2.15,3.2,0.97,237
2022-Mar-15,USA,120,42815.56,1.34,1.59,0.87,171
2022-Mar-16,USA,120,46976.76,0.87,4.57,1.01,196
2022-Mar-17,USA,120,55193.47,2.76,2.17,0.94,252
2022-Mar-18,USA,120,46567.99,1.34,2.16,1.04,225
2022-Mar-19,USA,120,50976.76,2.68,3.01,1.04,211
2022-Mar-20,USA,120,45680.58,4.32,3.41,1.04,267
2022-Mar-21,USA,120,71898.03,3.2,3.18,0.98,233
2022-Mar-22,USA,120,60326.0,2.37,1.64,0.91,180
2022-Mar-23,USA,120,59504.24,2.77,4.88,0.87,186
2022-Mar-24,USA,120,57002.43,3.09,4.48,0.99,221
2022-Mar-25,USA,120,32868.65,3.44,2.53,1.02,211
2022-Mar-26,USA,120,25477.35,2.72,3.28,1.04,145
2022-Mar-27,USA,120,45499.35,2.5,3.05,0.9,198
2022-Mar-28,USA,120,60604.47,1.41,3.54,0.94,246
2022-Mar-29,USA,120,65511.52,2.77,2.25,0.92,233
2022-Mar-30,USA,120,60265.8,2.64,4.15,0.95,223
2022-Mar-31,USA,120,40350.77,3.02,4.37,0.93,191
2022-Apr-01,USA,120,58860.64,1.12,4.44,1.13,243
2022-Apr-02,USA,120,66286.16,3.7,3.07,1.17,256
2022-Apr-03,USA,120,47186.15,2.49,3.8,1.27,219
2022-Apr-04,USA,120,36955.3,0.85,2.91,1.3,248
2022-Apr-05,USA,120,57473.68,1.62,3.49,1.12,243
2022-Apr-06,USA,120,44697.42,1.71,3.5,1.19,218
2022-Apr-07,USA,120,50574.74,1.35,2.81,1.14,186
2022-Apr-08,USA,120,48876.72,1.94,3.21,1.24,255
2022-Apr-09,USA,120,44527.2,1.91,3.58,1.26,220
2022-Apr-10,USA,120,66449.68,1.29,4.37,1.2,270
2022-Apr-11,USA,120,50286.21,3.18,2.01,1.11,275
2022-Apr-12,USA,120,33935.54,2.4,2.04,1.21,225
2022-Apr-13,USA,120,39387.37,2.35,2.95,1.15,207
2022-Apr-14,USA,120,49920.27,3.85,3.88,1.17,296
2022-Apr-15,USA,120,45594.95,4.4,4.01,1.12,278
2022-Apr-16,USA,120,59261.78,1.8,1.62,1.13,318
2022-Apr-17,USA,120,46385.77,2.52,3.13,1.17,239
2022-Apr-18,USA,120,44076.06,1.98,2.51,1.13,210
2022-Apr-19,USA,120,53902.53,0.5,3.68,1.13,234
2022-Apr-20,USA,120,55009.17,2.04,3.76,1.27,252
2022-Apr-21,USA,120,59330.12,4.13,4.62,1.29,282
2022-Apr-22,USA,120,33724.58,1.89,1.2,1.14,209
2022-Apr-23,USA,120,38608.58,1.28,3.8,1.12,209
2022-Apr-24,USA,120,41395.87,1.98,3.05,1.2,225
2022-Apr-25,USA,120,61063.29,2.02,3.76,1.11,275
2022-Apr-26,USA,120,55770.72,0.52,2.2,1.22,262
2022-Apr-27,USA,120,54880.44,2.64,3.09,1.27,334
2022-Apr-28,USA,120,45123.94,2.77,2.59,1.27,255
2022-Apr-29,USA,120,27918.93,2.93,4.03,1.13,187
2022-Apr-30,USA,120,29618.75,3.46,2.59,1.28,199
2022-May-01,USA,120,34197.48,3.34,2.16,1.19,223
2022-May-02,USA,120,52356.15,3.16,0.79,1.28,326
2022-May-03,USA,120,41251.93,2.63,3.57,1.12,211
2022-May-04,USA,120,51818.66,3.01,5.27,1.26,275
2022-May-05,USA,120,65097.71,1.63,2.18,1.13,285
2022-May-06,USA,120,47301.25,3.33,2.49,1.28,252
2022-May-07,USA,120,59638.5,2.16,2.45,1.26,326
2022-May-08,USA,120,42262.11,2.83,4.88,1.23,209
2022-May-09,USA,120,41091.57,2.64,3.84,1.14,170
2022-May-10,USA,120,74457.52,2.72,1.87,1.29,348
2022-May-11,USA,120,52168.61,3.93,3.59,1.1,261
2022-May-12,USA,120,65931.87,4.01,4.35,1.13,266
2022-May-13,USA,120,75386.91,2.43,3.78,1.29,346
2022-May-14,USA,120,39878.96,2.37,2.57,1.18,192
2022-May-15,USA,120,62701.26,2.32,3.63,1.21,262
2022-May-16,USA,120,47542.57,2.29,1.5,1.19,251
2022-May-17,USA,120,60804.6,3.14,2.84,1.2,237
2022-May-18,USA,120,75733.6,2.28,1.89,1.23,327
2022-May-19,USA,120,48851.56,1.87,3.67,1.11,234
2022-May-20,USA,120,42871.54,2.47,2.46,1.14,235
2022-May-21,USA,120,29216.23,3.61,0.34,1.26,199
2022-May-22,USA,120,35924.88,2.23,2.63,1.21,206
2022-May-23,USA,120,54853.16,2.21,2.93,1.23,255
2022-May-24,USA,120,44754.8,3.08,1.87,1.23,276
2022-May-25,USA,120,58138.64,2.22,2.77,1.23,258
2022-May-26,USA,120,39189.37,2.21,4.16,1.27,251
2022-May-27,USA,120,37584.99,1.16,4.76,1.16,186
2022-May-28,USA,120,37195.71,1.25,3.61,1.18,248
2022-May-29,USA,120,59718.23,1.1,2.46,1.21,276
2022-May-30,USA,120,53078.02,2.21,2.94,1.26,231
2022-May-31,USA,120,37115.53,2.0,2.58,1.23,232
2022-Jun-01,USA,120,54082.53,2.66,2.02,1.15,220
2022-Jun-02,USA,120,66205.33,2.12,3.53,1.23,342
2022-Jun-03,USA,120,43751.81,1.03,1.72,1.23,247
2022-Jun-04,USA,120,35656.35,2.22,3.2,1.13,217
2022-Jun-05,USA,120,40241.27,1.76,1.65,1.18,257
2022-Jun-06,USA,120,50953.21,4.17,2.7,1.21,284
2022-Jun-07,USA,120,75600.85,2.04,3.12,1.14,289
2022-Jun-08,USA,120,51798.45,2.22,3.24,1.17,246
2022-Jun-09,USA,120,57077.52,2.0,4.81,1.2,247
2022-Jun-10,USA,120,32371.33,1.63,3.93,1.26,235
2022-Jun-11,USA,120,51777.01,2.44,3.62,1.12,211
2022-Jun-12,USA,120,62862.69,3.15,3.62,1.27,339
2022-Jun-13,USA,120,54296.18,2.44,1.34,1.27,302
2022-Jun-14,USA,120,54466.4,3.15,3.13,1.14,255
2022-Jun-15,USA,120,50283.18,2.47,3.68,1.29,277
2022-Jun-16,USA,120,39575.15,1.38,3.5,1.16,243
2022-Jun-17,USA,120,64469.78,2.35,2.56,1.24,309
2022-Jun-18,USA,120,36505.36,3.19,3.28,1.16,231
2022-Jun-19,USA,120,44827.12,2.57,4.07,1.1,253
2022-Jun-20,USA,120,33181.8,3.24,3.31,1.2,177
2022-Jun-21,USA,120,36555.49,2.16,2.72,1.25,210
2022-Jun-22,USA,120,39294.22,0.95,1.79,1.16,235
2022-Jun-23,USA,120,49505.36,3.29,2.79,1.29,305
2022-Jun-24,USA,120,34300.4,3.43,4.62,1.22,219
2022-Jun-25,USA,120,43626.13,2.0,2.44,1.14,259
2022-Jun-26,USA,120,57959.07,2.2,1.83,1.11,289
2022-Jun-27,USA,120,52029.23,2.06,3.63,1.13,206
2022-Jun-28,USA,120,46374.65,1.83,3.16,1.22,264
2022-Jun-29,USA,120,56585.44,2.73,3.33,1.13,311
2022-Jun-30,USA,120,58841.01,1.1,1.74,1.12,233
2022-Jul-01,USA,120,49835.77,2.09,3.22,0.95,226
2022-Jul-02,USA,120,63238.75,3.46,3.34,0.95,207
2022-Jul-03,USA,120,55906.55,2.97,2.64,0.96,248
2022-Jul-04,USA,120,55024.17,2.82,3.72,1.02,249
2022-Jul-05,USA,120,48328.82,3.61,3.65,0.99,218
2022-Jul-06,USA,120,54182.53,1.95,3.49,0.92,210
2022-Jul-07,USA,120,36401.44,2.65,3.05,0.95,190
2022-Jul-08,USA,120,52665.81,3.7,3.21,0.98,215
2022-Jul-09,USA,120,56078.97,2.42,3.28,0.96,222
2022-Jul-10,USA,120,48136.28,2.64,3.41,0.87,177
